iso_code,continent,location,date,total_cases,new_cases
AIA,North America,Anguilla,2/4/2021,NA,NA
AIA,North America,Anguilla,2/5/2021,NA,NA
AIA,North America,Anguilla,2/6/2021,NA,NA
AIA,North America,Anguilla,2/7/2021,NA,NA
AIA,North America,Anguilla,2/8/2021,NA,NA
AIA,North America,Anguilla,2/9/2021,NA,NA
AIA,North America,Anguilla,2/10/2021,NA,NA
AIA,North America,Anguilla,2/11/2021,NA,NA
AIA,North America,Anguilla,2/12/2021,NA,NA
AIA,North America,Anguilla,2/13/2021,NA,NA
AIA,North America,Anguilla,2/14/2021,NA,NA
AIA,North America,Anguilla,2/15/2021,NA,NA
AIA,North America,Anguilla,2/16/2021,NA,NA
AIA,North America,Anguilla,2/17/2021,NA,NA
AIA,North America,Anguilla,2/18/2021,NA,NA
AIA,North America,Anguilla,2/19/2021,NA,NA
AIA,North America,Anguilla,2/20/2021,NA,NA
AIA,North America,Anguilla,2/21/2021,NA,NA
AIA,North America,Anguilla,2/22/2021,NA,NA
AIA,North America,Anguilla,2/23/2021,NA,NA
AIA,North America,Anguilla,2/24/2021,NA,NA
AIA,North America,Anguilla,2/25/2021,NA,NA
AIA,North America,Anguilla,2/26/2021,NA,NA
AIA,North America,Anguilla,2/27/2021,NA,NA
AIA,North America,Anguilla,2/28/2021,NA,NA
AIA,North America,Anguilla,3/1/2021,NA,NA
AIA,North America,Anguilla,3/2/2021,NA,NA
AIA,North America,Anguilla,3/3/2021,NA,NA
AIA,North America,Anguilla,3/4/2021,NA,NA
AIA,North America,Anguilla,3/5/2021,NA,NA
AIA,North America,Anguilla,3/6/2021,NA,NA
AIA,North America,Anguilla,3/7/2021,NA,NA
AIA,North America,Anguilla,3/8/2021,NA,NA
AIA,North America,Anguilla,3/9/2021,NA,NA
AIA,North America,Anguilla,3/10/2021,NA,NA
AIA,North America,Anguilla,3/11/2021,NA,NA
AIA,North America,Anguilla,3/12/2021,NA,NA
AIA,North America,Anguilla,3/13/2021,NA,NA
AIA,North America,Anguilla,3/14/2021,NA,NA
AIA,North America,Anguilla,3/15/2021,NA,NA
AIA,North America,Anguilla,3/16/2021,NA,NA
AIA,North America,Anguilla,3/17/2021,NA,NA
AIA,North America,Anguilla,3/18/2021,NA,NA
AIA,North America,Anguilla,3/19/2021,NA,NA
ATG,North America,Antigua and Barbuda,3/13/2020,1,1
ATG,North America,Antigua and Barbuda,3/14/2020,1,0
ATG,North America,Antigua and Barbuda,3/15/2020,1,0
ATG,North America,Antigua and Barbuda,3/16/2020,1,0
ATG,North America,Antigua and Barbuda,3/17/2020,1,0
ATG,North America,Antigua and Barbuda,3/18/2020,1,0
ATG,North America,Antigua and Barbuda,3/19/2020,1,0
ATG,North America,Antigua and Barbuda,3/20/2020,1,0
ATG,North America,Antigua and Barbuda,3/21/2020,1,0
ATG,North America,Antigua and Barbuda,3/22/2020,1,0
ATG,North America,Antigua and Barbuda,3/23/2020,3,2
ATG,North America,Antigua and Barbuda,3/24/2020,3,0
ATG,North America,Antigua and Barbuda,3/25/2020,3,0
ATG,North America,Antigua and Barbuda,3/26/2020,7,4
ATG,North America,Antigua and Barbuda,3/27/2020,7,0
ATG,North America,Antigua and Barbuda,3/28/2020,7,0
ATG,North America,Antigua and Barbuda,3/29/2020,7,0
ATG,North America,Antigua and Barbuda,3/30/2020,7,0
ATG,North America,Antigua and Barbuda,3/31/2020,7,0
ATG,North America,Antigua and Barbuda,4/1/2020,7,0
ATG,North America,Antigua and Barbuda,4/2/2020,9,2
ATG,North America,Antigua and Barbuda,4/3/2020,15,6
ATG,North America,Antigua and Barbuda,4/4/2020,15,0
ATG,North America,Antigua and Barbuda,4/5/2020,15,0
ATG,North America,Antigua and Barbuda,4/6/2020,15,0
ATG,North America,Antigua and Barbuda,4/7/2020,19,4
ATG,North America,Antigua and Barbuda,4/8/2020,19,0
ATG,North America,Antigua and Barbuda,4/9/2020,19,0
ATG,North America,Antigua and Barbuda,4/10/2020,19,0
